"FIDE_ID","FullName","Master","FIDEName","Fed","Sex","Tit","WTit","OTit","FOA","SRtng","SGm","SK","RRtng","RGm","Rk","BRtng","BGm","BK","B-day","Flag","Country"
"400041","Michael Adams","Adams, M","Adams, Michael","ENG","M","GM",NA,NA,NA,2666,0,10,2647,0,10,2711,0,10,1971,NA,"England"
"13300580","Varuzhan Akobian","Akobian, V","Akobian, Varuzhan","USA","M","GM",NA,NA,NA,2582,0,10,2634,0,10,2566,12,10,1983,NA,"United States of America"
"13300032","Vladimir Akopian","Akopian, V","Akopian, Vladimir","USA","M","GM",NA,NA,NA,2612,0,10,2643,0,10,2641,0,10,1971,NA,"United States of America"
"2000156","Lev Alburt","Alburt, L","Alburt, Lev","USA","M","GM",NA,NA,NA,2539,0,10,2526,0,10,2521,0,10,1945,"i","United States of America"
NA,"Alexander Alekhine","Alekhine, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4138147","Evgeny Alekseev","Alekseev, E","Alekseev, Evgeny","ISR","M","GM",NA,NA,NA,2563,9,10,2526,0,10,2571,0,10,1985,NA,"Israel"
"702293","Zoltan Almasi","Almasi, Z","Almasi, Zoltan","HUN","M","GM",NA,NA,NA,2677,0,10,2599,0,10,2585,0,10,1976,"i","Hungary"
"5000017","Viswanathan Anand","Anand, V","Anand, Viswanathan","IND","M","GM",NA,"FST",NA,2754,0,10,2731,0,10,2733,0,10,1969,NA,"India"
NA,"Adolf Anderssen","Anderssen, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1700014","Ulf Andersson","Andersson, U","Andersson, Ulf","SWE","M","GM",NA,NA,NA,2518,0,10,2442,0,10,2467,0,10,1951,NA,"Sweden"
"4158814","Dmitry Andreikin","Andreikin, D","Andreikin, Dmitry","FID","M","GM",NA,NA,NA,2729,0,10,2628,0,10,2736,0,10,1990,"i","FIDE"
"13300474","Levon Aronian","Aronian, L","Aronian, Levon","USA","M","GM",NA,NA,NA,2742,0,10,2743,0,10,2778,0,10,1982,NA,"United States of America"
"2001012","Maurice Ashley","Ashley, M","Ashley, Maurice","USA","M","GM",NA,"FT",NA,2440,0,10,NA,NA,NA,NA,NA,NA,1966,"i","United States of America"
"4101529","Yuri Averbakh","Averbakh, Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13601326","Zurab Azmaiparashvili","Azmaiparashvili, Z","Azmaiparashvili, Zurab","GEO","M","GM",NA,NA,NA,2637,0,10,2619,0,10,2608,0,10,1960,"i","Georgia"
"605506","Etienne Bacrot","Bacrot, E","Bacrot, Etienne","FRA","M","GM",NA,NA,NA,2662,9,10,2684,13,10,2663,13,10,1983,NA,"France"
"4100140","Evgeny Bareev","Bareev, E","Bareev, Evgeny","CAN","M","GM",NA,NA,NA,2631,0,10,2617,11,10,2660,14,10,1966,"i","Canada"
"3501728","Julio Becerra Rivero","Becerra Rivero, J","Becerra Rivero, Julio","USA","M","GM",NA,NA,NA,2447,4,10,NA,NA,NA,2568,0,10,1973,NA,"United States of America"
"14602377","Alexander Beliavsky","Beliavsky, A","Beliavsky, Alexander G","SLO","M","GM",NA,NA,NA,2486,0,10,2584,0,10,2478,0,10,1953,NA,"Slovenia"
"2000091","Joel Benjamin","Benjamin, J","Benjamin, Joel","USA","M","GM",NA,NA,NA,2500,0,10,NA,NA,NA,2561,0,10,1964,NA,"United States of America"
NA,"Pal Benko","Benko, P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Hans Berliner","Berliner, H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Ossip Bernstein","Bernstein, O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Henry Bird","Bird, H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Arthur Bisguier","Bisguier, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Joseph Blackburne","Blackburne, J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300047","Pavel Blatny","Blatny, P","Blatny, Pavel","CZE","M","GM",NA,NA,NA,2327,0,10,2348,0,10,2385,0,10,1968,NA,"Czech Republic"
NA,"Efim Bogoljubow","Bogoljubow, E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Isaac Boleslavsky","Boleslavsky, I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13900048","Viktor Bologan","Bologan, V","Bologan, Victor","MDA","M","GM",NA,"FST",NA,2574,0,10,2550,0,10,2483,0,10,1971,"i","Moldova"
NA,"Mikhail Botvinnik","Botvinnik, M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Gyula Breyer","Breyer, G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"David Bronstein","Bronstein, D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000210","Walter Browne","Browne, W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Lazaro Bruzon","Bruzon, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bu Xiangzhi","Bu Xiangzhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Robert Byrne","Byrne, R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"José Raúl Capablanca","Capablanca, J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1503014","Magnus Carlsen","Carlsen, M","Carlsen, Magnus","NOR","M","GM",NA,NA,NA,2835,9,10,2829,0,10,2858,0,10,1990,NA,"Norway"
"2020009","Fabiano Caruana","Caruana, F","Caruana, Fabiano","USA","M","GM",NA,NA,NA,2782,9,10,2752,0,10,2832,0,10,1992,NA,"United States of America"
"13600036","Maia Chiburdanidze","Chiburdanidze, M","Chiburdanidze, Maia","GEO","F","GM","WGM",NA,NA,2500,0,10,2432,0,10,2437,0,10,1961,"wi","Georgia"
NA,"Mikhail Chigorin","Chigorin, M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000059","Larry Christiansen","Christiansen, L","Christiansen, Larry","USA","M","GM",NA,NA,NA,2579,0,10,2584,0,10,NA,NA,NA,1956,NA,"United States of America"
"2000105","Nick DeFirmian","De Firmian, N","De Firmian, Nick","USA","M","GM",NA,NA,NA,2450,0,10,2468,0,10,NA,NA,NA,1957,NA,"United States of America"
NA,"Louis de LaBourdonnais","De Labourdonnais, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
