FullName,"Master","FIDE_ID"
Michael Adams,"Adams, M","400041"
Varuzhan Akobian,"Akobian, V","13300580"
Vladimir Akopian,"Akopian, V","13300032"
Lev Alburt,"Alburt, L","2000156"
Alexander Alekhine,"Alekhine, A","NA"
Evgeny Alekseev,"Alekseev, E","4138147"
Zoltan Almasi,"Almasi, Z","702293"
Viswanathan Anand,"Anand, V","5000017"
Adolf Anderssen,"Anderssen, A","NA"
Ulf Andersson,"Andersson, U","1700014"
Dmitry Andreikin,"Andreikin, D","4158814"
Levon Aronian,"Aronian, L","13300474"
Maurice Ashley,"Ashley, M","2001012"
Yuri Averbakh,"Averbakh, Y","4101529"
Zurab Azmaiparashvili,"Azmaiparashvili, Z","13601326"
Etienne Bacrot,"Bacrot, E","605506"
Evgeny Bareev,"Bareev, E","4100140"
Julio Becerra Rivero,"Becerra Rivero, J","3501728"
Alexander Beliavsky,"Beliavsky, A","14602377"
Joel Benjamin,"Benjamin, J","2000091"
Pal Benko,"Benko, P","NA"
Hans Berliner,"Berliner, H","NA"
Ossip Bernstein,"Bernstein, O","NA"
Henry Bird,"Bird, H","NA"
Arthur Bisguier,"Bisguier, A","NA"
Joseph Blackburne,"Blackburne, J","NA"
Pavel Blatny,"Blatny, P","300047"
Efim Bogoljubow,"Bogoljubow, E","NA"
Isaac Boleslavsky,"Boleslavsky, I","NA"
Viktor Bologan,"Bologan, V","13900048"
Mikhail Botvinnik,"Botvinnik, M","NA"
Gyula Breyer,"Breyer, G","NA"
David Bronstein,"Bronstein, D","NA"
Walter Browne,"Browne, W","2000210"
Lazaro Bruzon,"Bruzon, L","NA"
Bu Xiangzhi,"Bu Xiangzhi","NA"
Robert Byrne,"Byrne, R","NA"
José Raúl Capablanca,"Capablanca, J","NA"
Magnus Carlsen,"Carlsen, M","1503014"
Fabiano Caruana,"Caruana, F","2020009"
Maia Chiburdanidze,"Chiburdanidze, M","13600036"
Mikhail Chigorin,"Chigorin, M","NA"
Larry Christiansen,"Christiansen, L","2000059"
Nick DeFirmian,"De Firmian, N","2000105"
Louis de LaBourdonnais,"De Labourdonnais, L","NA"
Arnold Denker,"Denker, A","NA"
Ding Liren,"Ding Liren","NA"
Leinier Dominguez Perez,"Dominguez Perez, L","3503240"
Alexey Dreev,"Dreev, A","4100107"
Jan-Krzysztof Duda,"Duda, J","1170546"
Roman Dzindzichashvili,"Dzindzichashvili, R","2000113"
Jaan Ehlvest,"Ehlvest, J","4500016"
Pavel Eljanov,"Eljanov, P","14102951"
Max Euwe,"Euwe, M","NA"
Larry Evans,"Evans, L",
John Fedorowicz,"Fedorowicz, J","2000083"
Reuben Fine,"Fine, R","NA"
Benjamin Finegold,"Finegold, B","2000261"
Alireza Firouzja,"Firouzja, A","12573981"
Robert James Fischer,"Fischer, R","NA"
Alexander Fishbein,"Fishbein, A","2000377"
Salo Flohr,"Flohr, S","NA"
Nona Gaprindashvili,"Gaprindashvili, N","13600125"
Vugar Gashimov,"Gashimov, V","NA"
Boris Gelfand,"Gelfand, B","2805677"
Efim Geller,"Geller, E","NA"
Kiril Georgiev,"Georgiev, K","2900017"
Anish Giri,"Giri, A","24116068"
Svetozar Gligoric,"Gligoric, S","NA"
Alexander Goldin,"Goldin, A","2019540"
Julio Granda Zuniga,"Granda Zuniga, J","3800024"
Alexander Grischuk,"Grischuk, A","4126025"
Boris Gulko,"Gulko, B","2000040"
Isidor Gunsberg,"Gunsberg, I","NA"
Dmitry Gurevich,"Gurevich, D","2000407"
Mikhail Gurevich,"Gurevich, M","200930"
Pentala Harikrishna,"Harikrishna, P","5007003"
Vlastimil Hort,"Hort, V","4600029"
Bernhard Horwitz,"Horwitz, B","NA"
Hou Yifan,"Hou Yifan","NA"
Robert Huebner,"Huebner, R","4600010"
Ildar Ibragimov,"Ibragimov, I","4102878"
Miguel Illescas Cordoba,"Illescas Cordoba, M","2200015"
Ernesto Inarkiev,"Inarkiev, E","4162722"
Vassily Ivanchuk,"Ivanchuk, V","14100010"
Alexander Ivanov,"Ivanov, A","2000202"
Igor Ivanov,"Ivanov, I","NA"
Borislav Ivkov,"Ivkov, B","NA"
Dmitry Jakovenko,"Jakovenko, D","4122356"
David Janowski,"Janowsky, D","NA"
Baadur Jobava,"Jobava, B","13601520"
Artur Jussupow,"Jussupow, A","4618777"
Gregory Kaidanov,"Kaidanov, G","2008564"
Gata Kamsky,"Kamsky, G","2000024"
Sergey Karjakin,"Karjakin, S","14109603"
Anatoly Karpov,"Karpov, A","4100026"
Rustam Kasimdzhanov,"Kasimdzhanov, R","14200244"
Garry Kasparov,"Kasparov, G","4100018"
Lubomir Kavalek,"Kavalek, L","NA"
Paul Keres,"Keres, P","NA"
Alexander Khalifman,"Khalifman, A","4100115"
Ratmir Kholmov,"Kholmov, R","NA"
Koneru Humpy,"Koneru, H","5008123"
Viktor Korchnoi,"Korobov, A","14105730"
Anton Korobov,"Kortschnoj, V","NA"
Alexandra Kosteniuk,"Kosteniuk, A","4128125"
Alexander Kotov,"Kotov, A","24145602"
Vladimir Kramnik,"Kramnik, V","4101588"
Michal Krasenkow,"Krasenkow, M","1113100"
Irina Krush,"Krush, I","2012782"
Sergey Kudrin,"Kudrin, S","2000164"
Kateryna Lahno,"Lahno, K","NA"
Bent Larsen,"Larsen, B","NA"
Emanuel Lasker,"Lasker, E","NA"
Joel Lautier,"Lautier, J","600016"
Le Quang Liem,"Le Quang Liem","NA"
Peter Leko,"Leko, P","703303"
Grigory Levenfish,"Levenfish, G","NA"
Li Chao,"Li Chao","8604436"
Andre Lilienthal,"Lilienthal, A","NA"
Ljubomir Ljubojevic,"Ljubojevic, L","900010"
Smbat Lputian,"Lputian, S","13300024"
George MacKenzie,"Mackenzie, G","NA"
Vladimir Malakhov,"Malakhov, V","4120787"
Shakhriyar Mamedyarov,"Mamedyarov, S","13401319"
Geza Maroczy,"Maroczy, G","NA"
Frank Marshall,"Marshall, F","NA"
Alexander McDonnell,"McDonnell, A","NA"
Luke McShane,"McShane, L","404853"
Henrique Mecking,"Mecking, H","2100010"
Vladas Mikenas,"Mikenas, V","NA"
Anthony Miles,"Miles, A","NA"
Vadim Milov,"Milov, V","1304364"
Alexander Morozevich,"Morozevich, A","4116992"
Paul Morphy,"Morphy, P","NA"
Alexander Motylev,"Motylev, A","4121830"
Sergei Movsesian,"Movsesian, S","310204"
Mariya Muzychuk,"Muzychuk, M","14114550"
Miguel Najdorf,"Najdorf, M","NA"
Evgeny Najer,"Najer, E","4118987"
Hikaru Nakamura,"Nakamura, H","2016192"
David Navara,"Navara, D","309095"
Parimarjan Negi,"Negi, P","5016690"
Ian Nepomniachtchi,"Nepomniachtchi, I","4168119"
Ni Hua,"Ni Hua","NA"
Peter Nielsen,"Nielsen, P","1400355"
Predrag Nikolic,"Nikolic, P","14400014"
Aron Nimzowitsch,"Nimzowitsch, A","NA"
Liviu-Dieter Nisipeanu,"Nisipeanu, L","1202758"
Igor Novikov,"Novikov, I","14100037"
John Nunn,"Nunn, J","400017"
Fridrik Olafsson,"Olafsson, F","2300052"
Lembit Oll,"Oll, L","NA"
Alexander Onischuk,"Onischuk, A","14101025"
Ludek Pachman,"Pachman, L","NA"
Elisabeth Paehtz,"Paehtz, E","4641833"
Oscar Panno,"Panno, O","100153"
Louis Paulsen,"Paulsen, L","NA"
Tigran Petrosian,"Petrosian, T","NA"
Francois Philidor,"Philidor, F","NA"
Harry Pillsbury,"Pillsbury, H","NA"
Herman Pilnik,"Pilnik, H","NA"
Judit Polgar,"Polgar, J","700070"
Sofia Polgar,"Polgar, S","700231"
Zsuzsa Polgar,"Polgar, Z","700088"
Lev Polugaevsky,"Polugaevsky, L","NA"
Ruslan Ponomariov,"Ponomariov, R","14103320"
Lajos Portisch,"Portisch, L","700037"
Lev Psakhis,"Psakhis, L","2800012"
Miguel Quinteros,"Quinteros, M","100021"
Teimour Radjabov,"Radjabov, T","13400924"
Richard Rapport,"Rapport, R","738590"
Samuel Reshevsky,"Reshevsky, S","NA"
Richard Reti,"Reti, R","NA"
Zoltan Ribli,"Ribli, Z","700010"
Michael Rohde,"Rohde, M","2000172"
Akiba Rubinstein,"Rubinstein, A","NA"
Sergei Rublevsky,"Rublevsky, S","4115309"
Friedrich Saemisch,"Saemisch, F","NA"
Konstantin Sakaev,"Sakaev, K","4104226"
Valery Salov,"Salov, V","4100069"
Krishnan Sasikiran,"Sasikiran, K","5004985"
Carl Schlechter,"Schlechter, C","NA"
Yasser Seirawan,"Seirawan, Y","2000032"
Gregory Serper,"Serper, G","2012642"
Alexander Shabalov,"Shabalov, A","2008572"
Leonid Shamkovich,"Shamkovich, L","NA"
Alexei Shirov,"Shirov, A","2209390"
Nigel Short,"Short, N","400025"
Yury Shulman,"Shulman, Y","13500520"
Ilia Smirin,"Smirin, I","2801990"
Vasily Smyslov,"Smyslov, V","NA"
Wesley So,"So, W","5202213"
Ivan Sokolov,"Sokolov, I","14400030"
Andrew Soltis,"Soltis, A","2000741"
Boris Spassky,"Spassky, B","600024"
Jonathan Speelman,"Speelman, J","400033"
Rudolf Spielmann,"Spielmann, R","NA"
Gideon Stahlberg,"Stahlberg, G","NA"
Howard Staunton,"Staunton, H","NA"
Antoaneta Stefanova,"Stefanova, A","2902257"
Leonid Stein,"Stein, L","NA"
William Steinitz,"Steinitz, W","NA"
Alexey Suetin,"Suetin, A","NA"
Mir Sultan Khan,"Sultan Khan, M","NA"
Emil Sutovsky,"Sutovsky, E","2802007"
